date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2015. 11. 10,2.0151110706027E+017,KGC 인삼공사,92,0.63,0.33,0.68,18,6,24,11,3,20
2015. 11. 10,2.0151110706027E+017,KCC,86,0.49,0.42,0.67,17,10,27,6,5,24
2015. 10. 2,2.0151002305027E+017,오리온스,86,0.52,0.5,0.62,17,13,22,4,1,20
2015. 10. 2,2.0151002305027E+017,LG,82,0.64,0.32,0.65,12,7,21,4,2,19
2016. 1. 21,2.0160121700627E+018,KGC 인삼공사,74,0.56,0.22,0.83,14,6,25,5,6,21
2016. 1. 21,2.0160121700627E+018,KT,83,0.48,0.5,0.75,18,7,25,6,1,23
2016. 2. 3,2.0160203066527E+018,KT,86,0.56,0.25,0.77,21,13,21,12,0,16
2016. 2. 3,2.0160203066527E+018,전자랜드,78,0.65,0.3,0.81,17,5,24,5,1,22
2015. 11. 15,2.0151115061627E+018,KT,79,0.59,0.33,0.78,12,12,18,8,2,22
2015. 11. 15,2.0151115061627E+018,동부,82,0.56,0.4,0.67,18,11,18,10,2,20
2015. 10. 17,2.0151017701627E+017,KGC 인삼공사,86,0.53,0.37,0.77,17,11,22,8,4,21
2015. 10. 17,2.0151017701627E+017,동부,70,0.51,0.22,0.62,15,14,24,7,2,20
2016. 11. 3,2.0161103067029E+017,KT,70,0.45,0.28,0.75,21,11,24,7,1,19
2016. 11. 3,2.0161103067029E+017,KGC 인삼공사,94,0.62,0.33,0.6,24,11,31,8,0,18
2016. 2. 7,2.0160207105027E+018,모비스,69,0.57,0.27,1,21,11,27,7,3,18
2016. 2. 7,2.0160207105027E+018,LG,58,0.53,0.22,0.6,8,4,18,4,1,15
2015. 9. 12,2.0150912101627E+016,모비스,66,0.55,0.18,0.67,15,7,20,11,2,17
2015. 9. 12,2.0150912101627E+016,동부,77,0.53,0.73,0.55,19,3,29,4,1,18
2016. 1. 3,2.0160103103527E+018,모비스,77,0.41,0.41,0.69,20,11,23,13,1,23
2016. 1. 3,2.0160103103527E+018,삼성,74,0.52,0.17,0.53,16,13,27,7,1,26
2016. 1. 5,2.0160105160627E+018,동부,92,0.6,0.45,0.69,17,13,18,8,1,19
2016. 1. 5,2.0160105160627E+018,KT,77,0.58,0.31,0.75,15,11,15,8,3,15
2015. 12. 16,2.0151216160627E+018,동부,80,0.57,0.47,0.33,23,10,26,9,5,16
2015. 12. 16,2.0151216160627E+018,KT,60,0.46,0.24,0.67,11,8,20,10,8,17
2016. 1. 22,2.0160122506027E+018,LG,76,0.55,0.18,0.78,14,7,26,6,3,20
2016. 1. 22,2.0160122506027E+018,KCC,83,0.51,0.36,0.72,11,8,26,6,0,22
2016. 3. 25,2.0160325306027E+016,오리온스,94,0.59,0.37,0.78,18,11,22,7,1,23
2016. 3. 25,2.0160325306027E+016,KCC,86,0.52,0.41,0.68,15,9,19,5,0,26
2016. 10. 26,2.0161026165029E+016,동부,98,0.63,0.5,0.71,21,7,26,10,3,18
2016. 10. 26,2.0161026165029E+016,LG,71,0.47,0.28,0.67,11,11,19,7,0,25
2015. 10. 8,2.0151008066027E+017,KT,89,0.64,0.26,0.75,21,16,31,7,3,20
2015. 10. 8,2.0151008066027E+017,KCC,59,0.42,0.19,0.74,7,9,20,2,2,18
2015. 11. 1,2.0151101166527E+017,동부,87,0.5,0.57,0.71,21,11,31,5,8,16
2015. 11. 1,2.0151101166527E+017,전자랜드,68,0.38,0.33,0.9,13,6,17,6,3,21
2015. 11. 13,2.0151113501627E+017,LG,64,0.51,0.26,0.67,17,10,19,12,2,15
2015. 11. 13,2.0151113501627E+017,동부,80,0.57,0.4,0.91,19,6,23,10,4,16
2015. 11. 29,2.0151129355527E+018,삼성,95,0.45,0.5,0.82,18,27,20,10,1,20
2015. 11. 29,2.0151129355527E+018,SK,77,0.43,0.39,0.9,17,12,15,8,2,18
2015. 12. 9,2.0151209651027E+018,전자랜드,63,0.47,0.3,0.91,10,9,18,3,1,23
2015. 12. 9,2.0151209651027E+018,모비스,72,0.56,0.14,0.79,13,14,18,5,3,15
2015. 10. 17,2.0151017655527E+017,전자랜드,77,0.5,0.32,0.9,8,9,26,13,3,19
2015. 10. 17,2.0151017655527E+017,SK,50,0.4,0.22,0.67,12,8,22,6,1,16
2016. 3. 10,2.0160310103027E+017,모비스,59,0.5,0.14,0.67,14,15,19,4,1,12
2016. 3. 10,2.0160310103027E+017,오리온스,62,0.46,0.29,0.75,13,12,22,10,1,20
2015. 9. 13,2.0150913607027E+016,KCC,92,0.6,0.42,0.69,17,11,21,7,3,20
2015. 9. 13,2.0150913607027E+016,KGC 인삼공사,88,0.59,0.32,0.82,15,8,21,10,4,17
2015. 9. 24,2.0150924061627E+017,KT,86,0.63,0.28,0.75,13,10,23,2,5,15
2015. 9. 24,2.0150924061627E+017,동부,72,0.44,0.4,0.6,8,10,16,7,2,22
2016. 3. 11,2.0160311706027E+017,KGC 인삼공사,90,0.61,0.37,0.36,20,8,24,10,3,24
2016. 3. 11,2.0160311706027E+017,KCC,86,0.54,0.3,0.67,8,13,26,7,3,18
2015. 10. 4,2.0151004653027E+017,전자랜드,74,0.52,0.1,0.71,11,17,16,6,2,17
